name,statefp,contyfp,contyns,affgeod,geoid.x,lsad,aland,awater,stat_nm,stt_bbr,jrsdct_,Death_Count,Population,Death_Count_100K,geoid.y
Allegany,"24","001","01713506",0500000US24001,"24001","06",1098571612,14940658,Maryland,MD,state,"189","71445",264.539155994121,"24035"
Anne Arundel,"24","003","01710958",0500000US24003,"24003","06",1074553083,447833714,Maryland,MD,state,"474","571275",82.9722988053039,"24015"
Baltimore City,"24","510","01702381",0500000US24510,"24510","25",209643557,28767622,Maryland,MD,state,"806","609032",132.341157771677,"24013"
Baltimore County,"24","005","01695314",0500000US24005,"24005","06",1549750698,215989606,Maryland,MD,state,"1135","828018",137.074314809581,"24031"
Calvert,"24","009","01676636",0500000US24009,"24009","06",552178304,341560888,Maryland,MD,state,"60","91511",65.5658882538711,"24043"
Caroline,"24","011","00595737",0500000US24011,"24011","06",827350236,16777064,Maryland,MD,state,"18","33049",54.4645828920694,"24037"
Carroll,"24","013","01696228",0500000US24013,"24013","06",1159279521,13185871,Maryland,MD,state,"195","167699",116.279763147067,"24047"
Cecil,"24","015","00596115",0500000US24015,"24015","06",896852795,185340903,Maryland,MD,state,"111","102552",108.237772057103,"24011"
Charles,"24","017","01676992",0500000US24017,"24017","06",1185656914,479539650,Maryland,MD,state,"145","159428",90.9501467747196,"24009"
Dorchester,"24","019","00596495",0500000US24019,"24019","06",1400542033,1145384766,Maryland,MD,state,"36","32138",112.016927002303,"24027"
Frederick,"24","021","01711211",0500000US24021,"24021","06",1710554389,18041931,Maryland,MD,state,"245","251422",97.4457286951818,"24029"
Garrett,"24","023","01711058",0500000US24023,"24023","06",1676036320,22315761,Maryland,MD,state,"57","29235",194.971780400205,"24033"
Harford,"24","025","01698178",0500000US24025,"24025","06",1132089349,231910741,Maryland,MD,state,"209","252222",82.863509130845,"24041"
Howard,"24","027","01709077",0500000US24027,"24027","06",649942723,6345542,Maryland,MD,state,"203","318855",63.6653024101864,"24021"
Kent,"24","029","00593907",0500000US24029,"24029","06",717510794,353307933,Maryland,MD,state,"35","19536",179.156429156429,"24025"
Montgomery,"24","031","01712500",0500000US24031,"24031","06",1276884959,35995064,Maryland,MD,state,"1290","1043530",123.618870564335,"24003"
Prince George's,"24","033","01714670",0500000US24033,"24033","06",1250258133,41721659,Maryland,MD,state,"1220","908670",134.262163381646,"24023"
Queen Anne's,"24","035","00596089",0500000US24035,"24035","06",962645492,360048470,Maryland,MD,state,"34","49632",68.5041908446164,"24510"
Somerset,"24","039","00596907",0500000US24039,"24039","06",828090979,752714478,Maryland,MD,state,"26","25729",101.053286175133,"24001"
St. Mary's,"24","037","01697853",0500000US24037,"24037","06",925665243,1053737256,Maryland,MD,state,"108","112290",96.1795351322469,"24005"
Talbot,"24","041","00592947",0500000US24041,"24041","06",695519249,539405840,Maryland,MD,state,"26","37167",69.9545295557887,"24045"
Washington,"24","043","01714220",0500000US24043,"24043","06",1185609336,24803917,Maryland,MD,state,"230","150109",153.221992019133,"24039"
Wicomico,"24","045","01668606",0500000US24045,"24045","06",969736590,66797770,Maryland,MD,state,"132","102539",128.731507036347,"24017"
Worcester,"24","047","01668802",0500000US24047,"24047","06",1212832596,586845178,Maryland,MD,state,"80","51765",154.54457645127,"24019"
