geoid,name,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0052E,DP05_0071PE,DP05_0044PE
24510010100,"Census Tract 101, Baltimore city, Maryland",88.30,6.80,0.00,0.00,2.20,4.40
24510010200,"Census Tract 102, Baltimore city, Maryland",88.00,4.50,0.00,0.00,3.20,4.40
24510010300,"Census Tract 103, Baltimore city, Maryland",89.20,1.60,0.00,0.00,4.70,4.40
24510010400,"Census Tract 104, Baltimore city, Maryland",80.90,5.90,0.00,0.00,6.60,4.40
24510010500,"Census Tract 105, Baltimore city, Maryland",92.80,3.00,0.50,0.00,17.50,4.40
24510020100,"Census Tract 201, Baltimore city, Maryland",76.30,12.70,1.60,0.00,9.60,4.40
24510020200,"Census Tract 202, Baltimore city, Maryland",76.50,10.70,0.00,0.00,14.70,4.40
24510020300,"Census Tract 203, Baltimore city, Maryland",82.20,3.70,0.00,0.00,7.00,4.40
24510030100,"Census Tract 301, Baltimore city, Maryland",20.60,76.90,1.30,0.00,6.30,4.40
24510030200,"Census Tract 302, Baltimore city, Maryland",56.70,34.10,0.00,0.00,10.10,4.40
24510040100,"Census Tract 401, Baltimore city, Maryland",43.10,30.30,0.60,49.00,9.90,4.40
24510040200,"Census Tract 402, Baltimore city, Maryland",44.70,34.30,0.00,9.00,3.50,4.40
24510060100,"Census Tract 601, Baltimore city, Maryland",35.70,44.60,3.30,0.00,20.80,4.40
24510060200,"Census Tract 602, Baltimore city, Maryland",48.40,42.70,0.60,0.00,11.00,4.40
24510060300,"Census Tract 603, Baltimore city, Maryland",46.90,45.00,0.30,0.00,12.70,4.40
24510060400,"Census Tract 604, Baltimore city, Maryland",34.90,52.60,0.60,0.00,4.70,4.40
24510070100,"Census Tract 701, Baltimore city, Maryland",7.10,83.10,1.40,0.00,13.90,4.40
24510070200,"Census Tract 702, Baltimore city, Maryland",2.50,97.30,0.00,0.00,4.40,4.40
24510070300,"Census Tract 703, Baltimore city, Maryland",4.70,83.20,2.30,0.00,9.70,4.40
24510070400,"Census Tract 704, Baltimore city, Maryland",9.20,81.30,0.00,0.00,2.70,4.40
24510080101,"Census Tract 801.01, Baltimore city, Maryland",31.90,61.20,0.00,0.00,2.50,4.40
24510080102,"Census Tract 801.02, Baltimore city, Maryland",3.30,95.60,0.00,0.00,0.30,4.40
24510080200,"Census Tract 802, Baltimore city, Maryland",6.10,93.90,0.00,0.00,0.00,4.40
24510080301,"Census Tract 803.01, Baltimore city, Maryland",2.60,90.80,0.50,0.00,8.10,4.40
24510080302,"Census Tract 803.02, Baltimore city, Maryland",4.70,92.30,3.00,0.00,1.30,4.40
24510080400,"Census Tract 804, Baltimore city, Maryland",18.60,80.90,0.00,0.00,8.50,4.40
24510080500,"Census Tract 805, Baltimore city, Maryland",1.00,96.90,0.00,0.00,0.00,4.40
24510080600,"Census Tract 806, Baltimore city, Maryland",8.70,90.90,0.00,0.00,0.00,4.40
24510080700,"Census Tract 807, Baltimore city, Maryland",2.20,95.90,0.00,0.00,0.20,4.40
24510080800,"Census Tract 808, Baltimore city, Maryland",4.80,94.40,0.00,0.00,0.80,4.40
24510090100,"Census Tract 901, Baltimore city, Maryland",13.20,83.00,0.00,0.00,2.30,4.40
24510090200,"Census Tract 902, Baltimore city, Maryland",18.40,77.60,0.60,0.00,2.00,4.40
24510090300,"Census Tract 903, Baltimore city, Maryland",26.40,70.20,0.00,0.00,4.50,4.40
24510090400,"Census Tract 904, Baltimore city, Maryland",13.00,78.10,0.00,0.00,11.90,4.40
24510090500,"Census Tract 905, Baltimore city, Maryland",20.10,67.40,0.00,0.00,0.50,4.40
24510090600,"Census Tract 906, Baltimore city, Maryland",8.00,91.00,0.00,0.00,0.10,4.40
24510090700,"Census Tract 907, Baltimore city, Maryland",0.70,95.20,1.00,0.00,1.50,4.40
24510090800,"Census Tract 908, Baltimore city, Maryland",2.30,95.30,0.00,0.00,0.00,4.40
24510090900,"Census Tract 909, Baltimore city, Maryland",3.00,96.20,0.80,0.00,0.00,4.40
24510100100,"Census Tract 1001, Baltimore city, Maryland",1.50,96.90,0.00,0.00,3.10,4.40
24510100200,"Census Tract 1002, Baltimore city, Maryland",3.20,96.00,0.00,0.00,1.10,4.40
24510100300,"Census Tract 1003, Baltimore city, Maryland",20.10,76.90,0.80,0.00,6.10,4.40
24510110100,"Census Tract 1101, Baltimore city, Maryland",55.10,27.10,0.60,0.00,3.80,4.40
24510110200,"Census Tract 1102, Baltimore city, Maryland",57.60,25.30,1.40,0.00,6.70,4.40
24510120100,"Census Tract 1201, Baltimore city, Maryland",56.70,11.40,0.40,0.00,4.70,4.40
24510120201,"Census Tract 1202.01, Baltimore city, Maryland",72.90,19.10,0.20,5.00,3.20,4.40
24510120202,"Census Tract 1202.02, Baltimore city, Maryland",56.90,10.40,0.00,0.00,7.80,4.40
24510120300,"Census Tract 1203, Baltimore city, Maryland",42.20,46.30,0.00,0.00,3.20,4.40
24510120400,"Census Tract 1204, Baltimore city, Maryland",30.60,68.00,0.00,0.00,3.90,4.40
24510120500,"Census Tract 1205, Baltimore city, Maryland",37.90,52.20,0.00,0.00,4.50,4.40
24510120600,"Census Tract 1206, Baltimore city, Maryland",49.10,41.90,0.00,0.00,10.80,4.40
24510120700,"Census Tract 1207, Baltimore city, Maryland",72.30,22.10,0.00,0.00,4.90,4.40
24510130100,"Census Tract 1301, Baltimore city, Maryland",15.40,79.70,0.00,0.00,1.70,4.40
24510130200,"Census Tract 1302, Baltimore city, Maryland",14.90,81.70,1.00,0.00,0.40,4.40
24510130300,"Census Tract 1303, Baltimore city, Maryland",4.50,93.20,0.20,0.00,0.70,4.40
24510130400,"Census Tract 1304, Baltimore city, Maryland",8.20,87.60,0.00,0.00,5.60,4.40
24510130600,"Census Tract 1306, Baltimore city, Maryland",87.60,5.60,0.00,0.00,2.40,4.40
24510130700,"Census Tract 1307, Baltimore city, Maryland",84.90,7.60,0.00,0.00,4.20,4.40
24510130803,"Census Tract 1308.03, Baltimore city, Maryland",67.50,8.70,0.00,0.00,2.30,4.40
24510130804,"Census Tract 1308.04, Baltimore city, Maryland",86.70,9.50,0.00,0.00,3.20,4.40
24510130805,"Census Tract 1308.05, Baltimore city, Maryland",17.00,74.30,0.00,0.00,1.30,4.40
24510130806,"Census Tract 1308.06, Baltimore city, Maryland",75.80,18.70,0.00,6.00,3.70,4.40
24510140100,"Census Tract 1401, Baltimore city, Maryland",45.60,42.80,0.50,0.00,7.20,4.40
24510140200,"Census Tract 1402, Baltimore city, Maryland",2.70,95.50,0.00,0.00,0.00,4.40
24510140300,"Census Tract 1403, Baltimore city, Maryland",6.30,92.00,0.00,0.00,0.40,4.40
24510150100,"Census Tract 1501, Baltimore city, Maryland",4.00,93.10,0.00,0.00,0.00,4.40
24510150200,"Census Tract 1502, Baltimore city, Maryland",0.00,95.50,0.00,0.00,0.30,4.40
24510150300,"Census Tract 1503, Baltimore city, Maryland",1.10,98.00,0.00,0.00,0.60,4.40
24510150400,"Census Tract 1504, Baltimore city, Maryland",0.70,93.60,0.00,7.00,1.00,4.40
24510150500,"Census Tract 1505, Baltimore city, Maryland",6.40,93.60,0.00,0.00,4.90,4.40
24510150600,"Census Tract 1506, Baltimore city, Maryland",2.80,95.70,0.00,0.00,0.30,4.40
24510150701,"Census Tract 1507.01, Baltimore city, Maryland",3.80,93.40,0.00,0.00,0.60,4.40
24510150702,"Census Tract 1507.02, Baltimore city, Maryland",0.80,95.30,0.00,5.00,1.40,4.40
24510150800,"Census Tract 1508, Baltimore city, Maryland",0.50,97.70,0.00,0.00,1.30,4.40
24510150900,"Census Tract 1509, Baltimore city, Maryland",3.90,92.80,0.00,0.00,2.40,4.40
24510151000,"Census Tract 1510, Baltimore city, Maryland",5.30,92.50,0.00,7.00,4.40,4.40
24510151100,"Census Tract 1511, Baltimore city, Maryland",2.40,96.00,0.00,0.00,0.50,4.40
24510151200,"Census Tract 1512, Baltimore city, Maryland",6.70,92.80,0.00,0.00,0.60,4.40
24510151300,"Census Tract 1513, Baltimore city, Maryland",6.10,85.70,0.50,0.00,6.70,4.40
24510160100,"Census Tract 1601, Baltimore city, Maryland",4.00,93.60,0.00,0.00,1.30,4.40
24510160200,"Census Tract 1602, Baltimore city, Maryland",2.30,97.30,0.00,5.00,0.80,4.40
24510160300,"Census Tract 1603, Baltimore city, Maryland",5.30,93.40,0.00,0.00,0.00,4.40
24510160400,"Census Tract 1604, Baltimore city, Maryland",1.50,95.90,0.60,0.00,0.00,4.40
24510160500,"Census Tract 1605, Baltimore city, Maryland",0.00,98.90,0.00,0.00,0.00,4.40
24510160600,"Census Tract 1606, Baltimore city, Maryland",1.90,94.60,1.00,0.00,1.80,4.40
24510160700,"Census Tract 1607, Baltimore city, Maryland",0.30,98.90,0.00,0.00,0.40,4.40
24510160801,"Census Tract 1608.01, Baltimore city, Maryland",0.20,97.40,0.00,0.00,1.00,4.40
24510160802,"Census Tract 1608.02, Baltimore city, Maryland",0.30,98.30,0.00,0.00,2.60,4.40
24510170100,"Census Tract 1701, Baltimore city, Maryland",29.00,65.90,1.30,0.00,4.00,4.40
24510170200,"Census Tract 1702, Baltimore city, Maryland",7.90,87.00,0.00,0.00,0.20,4.40
24510170300,"Census Tract 1703, Baltimore city, Maryland",1.50,93.20,1.00,0.00,4.20,4.40
24510180100,"Census Tract 1801, Baltimore city, Maryland",0.20,99.00,0.00,0.00,0.80,4.40
24510180200,"Census Tract 1802, Baltimore city, Maryland",11.40,86.20,0.00,0.00,3.70,4.40
24510180300,"Census Tract 1803, Baltimore city, Maryland",45.60,47.50,0.00,0.00,3.30,4.40
24510190100,"Census Tract 1901, Baltimore city, Maryland",6.50,90.20,0.00,0.00,3.20,4.40
24510190200,"Census Tract 1902, Baltimore city, Maryland",40.60,49.90,0.00,0.00,5.70,4.40
24510190300,"Census Tract 1903, Baltimore city, Maryland",32.30,60.80,0.00,0.00,1.80,4.40
24510200100,"Census Tract 2001, Baltimore city, Maryland",1.90,97.00,0.00,0.00,2.00,4.40
24510200200,"Census Tract 2002, Baltimore city, Maryland",4.30,95.70,0.00,0.00,0.00,4.40
24510200300,"Census Tract 2003, Baltimore city, Maryland",23.30,61.10,1.10,0.00,4.90,4.40
24510200400,"Census Tract 2004, Baltimore city, Maryland",2.80,91.20,0.00,0.00,1.60,4.40
24510200500,"Census Tract 2005, Baltimore city, Maryland",28.70,52.50,1.50,0.00,11.00,4.40
24510200600,"Census Tract 2006, Baltimore city, Maryland",21.00,71.40,0.60,0.00,6.30,4.40
24510200701,"Census Tract 2007.01, Baltimore city, Maryland",2.10,97.50,0.10,0.00,0.50,4.40
24510200702,"Census Tract 2007.02, Baltimore city, Maryland",0.70,99.30,0.00,0.00,0.00,4.40
24510200800,"Census Tract 2008, Baltimore city, Maryland",6.10,89.10,0.00,0.00,3.80,4.40
24510210100,"Census Tract 2101, Baltimore city, Maryland",31.70,64.10,0.00,0.00,0.80,4.40
24510210200,"Census Tract 2102, Baltimore city, Maryland",33.60,50.00,0.00,0.00,9.40,4.40
24510220100,"Census Tract 2201, Baltimore city, Maryland",76.10,10.60,2.00,0.00,4.20,4.40
24510230100,"Census Tract 2301, Baltimore city, Maryland",55.30,41.20,0.00,0.00,2.90,4.40
24510230200,"Census Tract 2302, Baltimore city, Maryland",84.90,8.50,0.00,0.00,4.40,4.40
24510230300,"Census Tract 2303, Baltimore city, Maryland",86.20,7.20,2.10,0.00,3.80,4.40
24510240100,"Census Tract 2401, Baltimore city, Maryland",90.70,1.90,1.10,0.00,4.60,4.40
24510240200,"Census Tract 2402, Baltimore city, Maryland",88.60,4.80,0.00,0.00,3.80,4.40
24510240300,"Census Tract 2403, Baltimore city, Maryland",82.50,2.90,3.70,0.00,5.00,4.40
24510240400,"Census Tract 2404, Baltimore city, Maryland",94.80,0.50,0.00,0.00,4.60,4.40
24510250101,"Census Tract 2501.01, Baltimore city, Maryland",14.40,80.70,0.70,0.00,1.70,4.40
