name,pop,vaxDeliv1,vaxDeliv1_adj,vaxDeliv2,vaxDeliv2_adj,vaxDelivT,vaxDelivT_adj
Allegany,71445,4400,6159,2100,2939,6500,9098
Anne Arundel,571275,23675,4144,7425,1300,31100,5444
Baltimore City,609032,11900,1954,6700,1100,18600,3054
Baltimore County,828018,31875,3850,9350,1129,41225,4979
Calvert,91511,7975,8715,2900,3169,10875,11884
Caroline,33049,2600,7867,1100,3328,3700,11195
Carroll,167699,7500,4472,2600,1550,10100,6023
Cecil,102552,4200,4095,2000,1950,6200,6046
Charles,159428,7600,4767,2700,1694,10300,6461
Dorchester,32138,2200,6845,800,2489,3000,9335
Frederick,251422,12150,4833,3400,1352,15550,6185
Garrett,29235,2500,8551,1100,3763,3600,12314
Harford,252222,10000,3965,3400,1348,13400,5313
Howard,318855,17025,5339,4700,1474,21725,6813
Kent,19536,2200,11261,1100,5631,3300,16892
Montgomery,1043530,37900,3632,11000,1054,48900,4686
Prince George's,908670,17775,1956,6725,740,24500,2696
Queen Anne's,49632,3200,6447,1300,2619,4500,9067
Somerset,25729,2500,9717,1100,4275,3600,13992
St. Mary's,112290,10375,9239,1975,1759,12350,10998
Talbot,37167,3000,8072,1300,3498,4300,11569
Washington,150109,1700,1133,0,0,1700,1133
Wicomico,102539,4300,4194,1900,1853,6200,6046
Worcester,51765,3000,5795,1300,2511,4300,8307
